"filename", "language", "JSON", "XML", "Markdown", "C#", "JavaScript", "CSS", "Properties", "ASP.NET Razor", "comment", "blank", "total"
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\obj\Debug\net8.0\scopedcss\bundle\NordicNest.styles.css", "CSS", 0, 0, 0, 0, 0, 38, 0, 0, 3, 9, 50
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\obj\Debug\net8.0\scopedcss\projectbundle\NordicNest.bundle.scp.css", "CSS", 0, 0, 0, 0, 0, 38, 0, 0, 3, 9, 50
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\obj\Debug\net8.0\staticwebassets.build.json", "JSON", 1597, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1597
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\obj\Debug\net8.0\staticwebassets.development.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\obj\Debug\net8.0\staticwebassets.pack.json", "JSON", 349, 0, 0, 0, 0, 0, 0, 0, 0, 0, 349
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\obj\Debug\net8.0\staticwebassets\msbuild.NordicNest.Microsoft.AspNetCore.StaticWebAssets.props", "XML", 0, 1316, 0, 0, 0, 0, 0, 0, 0, 0, 1316
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\obj\Debug\net8.0\staticwebassets\msbuild.build.NordicNest.props", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\obj\Debug\net8.0\staticwebassets\msbuild.buildMultiTargeting.NordicNest.props", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\obj\Debug\net8.0\staticwebassets\msbuild.buildTransitive.NordicNest.props", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\obj\NordicNest.csproj.nuget.dgspec.json", "JSON", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76
